REGION,EMISSION,YEAR,VALUE
GLOBAL,CO2KEN,2021,0.0
GLOBAL,CO2KEN,2022,0.0
GLOBAL,CO2KEN,2023,0.0020993301070916263
GLOBAL,CO2KEN,2024,0.006077037586314746
GLOBAL,CO2KEN,2025,0.01042563100400628
GLOBAL,CO2KEN,2026,0.01634416389837261
GLOBAL,CO2KEN,2027,0.02226269679273885
GLOBAL,CO2KEN,2028,0.028181229687104997
GLOBAL,CO2KEN,2029,0.03439929987060922
GLOBAL,CO2KEN,2030,0.042853506400633484
GLOBAL,CO2KEN,2031,0.05259767402091956
GLOBAL,CO2KEN,2032,0.033446932223451256
GLOBAL,CO2KEN,2033,0.0
GLOBAL,CO2KEN,2034,0.24481319199926738
GLOBAL,CO2KEN,2035,0.3460294657031586
GLOBAL,CO2KEN,2036,0.5174518657031583
GLOBAL,CO2KEN,2037,0.6885724657031583
GLOBAL,CO2KEN,2038,0.8599948657031582
GLOBAL,CO2KEN,2039,1.0311154657031583
GLOBAL,CO2KEN,2040,1.2025378657031585
GLOBAL,CO2KEN,2041,1.415306865703158
GLOBAL,CO2KEN,2042,1.6280758657031582
GLOBAL,CO2KEN,2043,1.8405430657031587
GLOBAL,CO2KEN,2044,2.0533120657031585
GLOBAL,CO2KEN,2045,2.4141172686023586
GLOBAL,CO2KEN,2046,2.9759234729514783
GLOBAL,CO2KEN,2047,3.243016472951478
GLOBAL,CO2KEN,2048,3.5838814981567215
GLOBAL,CO2KEN,2049,3.850672698156721
GLOBAL,CO2KEN,2050,4.117765698156721
GLOBAL,CO2TZA,2021,0.537776479263456
GLOBAL,CO2TZA,2022,0.56263620388965
GLOBAL,CO2TZA,2023,0.594804432355503
GLOBAL,CO2TZA,2024,0.6432809986760355
GLOBAL,CO2TZA,2025,0.6861454118616772
GLOBAL,CO2TZA,2026,0.7492304536651815
GLOBAL,CO2TZA,2027,0.8122178349758566
GLOBAL,CO2TZA,2028,0.8756713504372335
GLOBAL,CO2TZA,2029,0.93912486589861
GLOBAL,CO2TZA,2030,1.027542357663009
GLOBAL,CO2TZA,2031,1.110087007166297
GLOBAL,CO2TZA,2032,1.3037681395055796
GLOBAL,CO2TZA,2033,1.3168036302486492
GLOBAL,CO2TZA,2034,1.3952033416939398
GLOBAL,CO2TZA,2035,1.4737068938166424
GLOBAL,CO2TZA,2036,1.5669558221317028
GLOBAL,CO2TZA,2037,1.6602047504467643
GLOBAL,CO2TZA,2038,1.7533498380844148
GLOBAL,CO2TZA,2039,1.8465987663994752
GLOBAL,CO2TZA,2040,1.9398476947145369
GLOBAL,CO2TZA,2041,2.0500226534475883
GLOBAL,CO2TZA,2042,2.1603014528580493
GLOBAL,CO2TZA,2043,2.2704764115911003
GLOBAL,CO2TZA,2044,2.3806513703241508
GLOBAL,CO2TZA,2045,2.4908263290572012
GLOBAL,CO2TZA,2046,2.6275845012074637
GLOBAL,CO2TZA,2047,2.764342673357725
GLOBAL,CO2TZA,2048,2.9011008455079876
GLOBAL,CO2TZA,2049,3.0378590176582474
GLOBAL,CO2TZA,2050,3.1746171898085103
